name,type,value,date
北苑营业部,北苑营业部,88998.10,2018-05-10
花市营业部,花市营业部,660741.60,2018-05-11
劲松营业部,劲松营业部,293244.28,2018-05-11
第一营业部,第一营业部,289544.48,2018-05-11
阜外营业部,阜外营业部,235772.56,2018-05-11
宣武门外营业部,宣武门外营业部,197321.51,2018-05-11
西城第一门市部,西城第一门市部,194187.04,2018-05-11
安贞营业部,安贞营业部,115521.40,2018-05-11
公主坟第一门市,公主坟第一门市,113804.02,2018-05-11
建国门分社,建国门分社,113745.96,2018-05-11
东城第一门市部,东城第一门市部,110505.09,2018-05-11
花市营业部,花市营业部,688913.00,2018-05-12
劲松营业部,劲松营业部,325716.28,2018-05-12
第一营业部,第一营业部,307681.28,2018-05-12
阜外营业部,阜外营业部,261809.56,2018-05-12
西城第一门市部,西城第一门市部,224149.04,2018-05-12
宣武门外营业部,宣武门外营业部,211734.53,2018-05-12
公主坟第一门市,公主坟第一门市,135939.42,2018-05-12
东城第一门市部,东城第一门市部,117831.09,2018-05-12
北三环安贞桥门市部,北三环安贞桥门市部,117035.34,2018-05-12
安贞营业部,安贞营业部,115521.40,2018-05-12
花市营业部,花市营业部,688913.00,2018-05-13
劲松营业部,劲松营业部,331655.28,2018-05-13
第一营业部,第一营业部,307681.28,2018-05-13
阜外营业部,阜外营业部,261809.56,2018-05-13
西城第一门市部,西城第一门市部,259531.04,2018-05-13
宣武门外营业部,宣武门外营业部,230127.54,2018-05-13
公主坟第一门市,公主坟第一门市,140604.82,2018-05-13
建国门分社,建国门分社,140386.99,2018-05-13
东城第一门市部,东城第一门市部,129900.09,2018-05-13
北三环安贞桥门市部,北三环安贞桥门市部,117035.34,2018-05-13
花市营业部,花市营业部,706333.04,2018-05-14
劲松营业部,劲松营业部,402667.98,2018-05-14
第一营业部,第一营业部,308800.28,2018-05-14
西城第一门市部,西城第一门市部,269229.08,2018-05-14
阜外营业部,阜外营业部,261809.56,2018-05-14
宣武门外营业部,宣武门外营业部,233095.56,2018-05-14
西直门北站营业部,西直门北站营业部,146339.04,2018-05-14
公主坟第一门市,公主坟第一门市,144007.82,2018-05-14
东城第一门市部,东城第一门市部,143850.09,2018-05-14
建国门分社,建国门分社,140386.99,2018-05-14
花市营业部,花市营业部,722743.28,2018-05-15
劲松营业部,劲松营业部,413057.58,2018-05-15
第一营业部,第一营业部,318462.68,2018-05-15
西城第一门市部,西城第一门市部,284572.10,2018-05-15
阜外营业部,阜外营业部,274254.56,2018-05-15
宣武门外营业部,宣武门外营业部,242916.56,2018-05-15
公主坟第一门市,公主坟第一门市,178733.46,2018-05-15
西直门北站营业部,西直门北站营业部,166119.04,2018-05-15
