name,type,value,date
全景旅游,全景旅游,4307393.15,2018-06-10
优耐德,优耐德,3837445.38,2018-06-10
奇幻九州,奇幻九州,1385468.00,2018-06-10
五洲行,五洲行,1187799.04,2018-06-10
朋乐假期,朋乐假期,1107639.76,2018-06-10
寰宇风情,寰宇风情,751913.23,2018-06-10
九州风行,九州风行,733298.43,2018-06-10
皇家UNIWAY,皇家UNIWAY,727762.00,2018-06-10
翔龙万里行,翔龙万里行,499144.05,2018-06-10
协作旅游,协作旅游,475193.67,2018-06-10
全景旅游,全景旅游,4426570.15,2018-06-11
优耐德,优耐德,3990901.44,2018-06-11
奇幻九州,奇幻九州,1385468.00,2018-06-11
五洲行,五洲行,1203835.06,2018-06-11
朋乐假期,朋乐假期,1107639.76,2018-06-11
寰宇风情,寰宇风情,763139.23,2018-06-11
皇家UNIWAY,皇家UNIWAY,755444.06,2018-06-11
九州风行,九州风行,750920.43,2018-06-11
翔龙万里行,翔龙万里行,555968.07,2018-06-11
协作旅游,协作旅游,475193.67,2018-06-11
全景旅游,全景旅游,4498291.15,2018-06-12
优耐德,优耐德,4031473.44,2018-06-12
奇幻九州,奇幻九州,1423296.00,2018-06-12
五洲行,五洲行,1216703.08,2018-06-12
朋乐假期,朋乐假期,1155835.88,2018-06-12
九州风行,九州风行,916662.50,2018-06-12
寰宇风情,寰宇风情,799410.03,2018-06-12
皇家UNIWAY,皇家UNIWAY,755444.06,2018-06-12
领先旅游,领先旅游,718419.00,2018-06-12
翔龙万里行,翔龙万里行,555968.07,2018-06-12
全景旅游,全景旅游,4739949.21,2018-06-13
优耐德,优耐德,4091851.44,2018-06-13
奇幻九州,奇幻九州,1489936.00,2018-06-13
五洲行,五洲行,1233295.48,2018-06-13
朋乐假期,朋乐假期,1155835.88,2018-06-13
九州风行,九州风行,964968.50,2018-06-13
寰宇风情,寰宇风情,831354.87,2018-06-13
领先旅游,领先旅游,792333.00,2018-06-13
皇家UNIWAY,皇家UNIWAY,755444.06,2018-06-13
翔龙万里行,翔龙万里行,594974.07,2018-06-13
全景旅游,全景旅游,4945556.29,2018-06-14
优耐德,优耐德,4105567.44,2018-06-14
奇幻九州,奇幻九州,1489936.00,2018-06-14
五洲行,五洲行,1319623.48,2018-06-14
朋乐假期,朋乐假期,1213599.89,2018-06-14
九州风行,九州风行,1088699.54,2018-06-14
寰宇风情,寰宇风情,885793.27,2018-06-14
领先旅游,领先旅游,792333.00,2018-06-14
皇家UNIWAY,皇家UNIWAY,771609.24,2018-06-14
翔龙万里行,翔龙万里行,594974.07,2018-06-14
全景旅游,全景旅游,5077611.29,2018-06-15
优耐德,优耐德,4178894.46,2018-06-15
奇幻九州,奇幻九州,1534036.00,2018-06-15
五洲行,五洲行,1331859.88,2018-06-15
朋乐假期,朋乐假期,1250074.41,2018-06-15
九州风行,九州风行,1132317.55,2018-06-15
寰宇风情,寰宇风情,1086898.58,2018-06-15
皇家UNIWAY,皇家UNIWAY,817368.45,2018-06-15
领先旅游,领先旅游,792333.00,2018-06-15
翔龙万里行,翔龙万里行,594974.07,2018-06-15
全景旅游,全景旅游,5331889.29,2018-06-16
优耐德,优耐德,4339691.02,2018-06-16
奇幻九州,奇幻九州,1646266.00,2018-06-16
五洲行,五洲行,1361916.28,2018-06-16
朋乐假期,朋乐假期,1265208.52,2018-06-16
九州风行,九州风行,1210122.56,2018-06-16
寰宇风情,寰宇风情,1107029.98,2018-06-16
皇家UNIWAY,皇家UNIWAY,891276.95,2018-06-16
领先旅游,领先旅游,792333.00,2018-06-16
翔龙万里行,翔龙万里行,634534.47,2018-06-16
全景旅游,全景旅游,5366202.29,2018-06-17
优耐德,优耐德,4383656.02,2018-06-17
奇幻九州,奇幻九州,1680272.00,2018-06-17
五洲行,五洲行,1411020.28,2018-06-17
朋乐假期,朋乐假期,1316775.63,2018-06-17
九州风行,九州风行,1213686.56,2018-06-17
寰宇风情,寰宇风情,1155766.38,2018-06-17
皇家UNIWAY,皇家UNIWAY,891276.95,2018-06-17
领先旅游,领先旅游,792333.00,2018-06-17
翔龙万里行,翔龙万里行,642850.47,2018-06-17
全景旅游,全景旅游,5501902.29,2018-06-18
优耐德,优耐德,4454562.02,2018-06-18
奇幻九州,奇幻九州,1702616.00,2018-06-18
五洲行,五洲行,1411020.28,2018-06-18
朋乐假期,朋乐假期,1346350.85,2018-06-18
